german,english,hungarian,type,⍨,,
h Überstunde machen,to do overtime,túlórázni,verb,2014-08-20,,
s überwechseln,to transfer; to change sides,átváltani; váltani,verb,2014-05-07,,
"h überwinden, überwanden, überwunden",to overcome,"legyőzni, legyűrni",verb,2014-10-14,,
h überzeugen,to win over,meggyőzni,verb,2014-08-20,,
h überzeugen, to convince,meggyőzni,verb,2014-05-11,,
"h überziehen, überzogen, überzogen","to put on; to overrun, to overdraw",felvenni; túlkölteni,verb,2014-05-01,,
h um|bauen,"to convert (building); to reconstruct, to rebuild",átépíteni,verb,2014-05-07,,
h um|buchen,to rebook,átfoglalni,verb,2014-05-01,,
h umarmen,"to embrace, to hug",megölelni,verb,2014-05-01,,
"h umbenennen, umbenannten, umbenannt",to rename,átnevezni,verb,2014-05-07,,
"h umbringen, umbrachten, umgebracht","to kill, to murder",meggyilkolni vkit,verb,2014-05-07,,
h umdrehen,to turn; to turn around; to flip; to reverse,megfordulni,verb,2014-06-04,,
"h umfahren, umfuhren, umgefahren, umfährst, umfährt",to drive sb over,elütni vkit (fizikálisan),verb,2014-05-07,,
"s umfahren, umfuhren, umgefahren, umfährst, umfährt",to bypass,megkerülni (fizikálisan),verb,2014-08-03,,
"h umgehen, umgingen, umgegangen",to avoid; to go around,elkerülni (elvont v. fizikális),verb,2014-05-07,,
s umkippen,"to overturn, to knock sth over",eldönteni (fizikailag),verb,2014-10-15,,
h umsetzen,to implement,megvalósitani,verb,2014-06-04,,
s unfreundlich sein + zu (D),to be friendly with sb,vkivel barátságtalannak lenni,verb,2014-10-11,,
h Unsinn machen,to do sth stupid,baromságot csinálni; megfontolatlanság,verb,2014-10-15,,
"h unterbringen, unterbrachten, untergebracht",to accommodate,"elhelyezni vkit vhol, helyet találni",verb,2014-05-07,,
h unterdrücken,to suppress,"elnyomni, elfojtani",verb,2014-05-10,,
"s unterkommen, unterkamen, untergekommen",to find accommodation; to find job,megszállni; állást találni; bekerülni,verb,2014-07-14,,
h unterlegen,"to underlay, to put under",aláfektetni,verb,2014-05-07,,
"h unternehmen, unternahmen, unternommen, unternimmst, unternimmt",to start; to embark on,vállalkozni; csinálni vmit (szabadidőben); tenni vmit,verb,2014-05-07,,
h unterrichten,"to teach, to school; to inform",tanítani,verb,2014-05-09,,
"h unterscheiden, unterschieden, unterschieden",to distinguish,megkülönböztetni,verb,2014-05-01,,
"h unterscheiden, unterschieden, unterschieden + sich (A)",to be distinguished,különbözni,verb,2014-05-01,,
"h unterschreiben, untergeschrieben, untergeschrieben",to sign,aláírni,verb,2014-05-07,,
h untersuchen,"to examine, to investigate",kivizsgálni,verb,2014-05-01,,
h verabreden + sich (A),to arrange,találkozót megbeszélni,verb,2014-05-01,,
s verabredet sein + mit (D),to have an appointment with sb,vkivel találkozót megbeszélve lenni,verb,2014-10-18,,
h verabschieden,to dismiss; to see off,búcsúztatni,verb,2014-05-24,,
h verabschieden + sich (A),to say goodbye,búcsúzni,verb,2014-05-24,,
h verändern,to change,megváltoztatni,verb,2014-05-08,,
h verankern,to anchor,,verb,2014-09-17,,
h verarbeiten,to process,"feldolgozni (anyagot, érzelmet); megmunkálni (anyagot)",verb,2014-05-01,,
h verbessern,to improve,"kijavítani, javítani",verb,2014-05-01,,
h verbieten + (D),"to forbid, to prohibit",megtiltani,verb,2014-10-13,,
"h verbringen, verbrachten, verbrachten",to spend (time),eltölteni (időt),verb,2014-05-01,,
h verdauen,to digest,"megemészteni (átv., bio.)",verb,2014-05-01,,
h verdecken,to cover; to obscure,eltakarni,verb,2014-05-29,,
h verdienen,to earn,keresni (pénzt); kiérdemelni,verb,2014-05-01,,
"s verdrießen, verdrossen, verdrossen",to chagrin,bosszantani,verb,2014-10-12,,
"h vergessen, vergaßen, vergessen,  vergisst,  vergisst",to forget,elfelejteni,verb,2014-10-08,,
"h vergleichen, verglichen, verglichen",to compare,összehasonlítani,verb,2014-05-08,,
"h vergleichen, verglichen, verglichen",to compare,összehasonlítani,verb,2014-10-01,,
h vergolden,"to gild, to gold-plate",bearanyozni (arannyal bevonni),verb,2014-05-07,,
h vergrößern,to enlarge; to extend,megnagyobbítani,verb,2014-05-08,,
h verhalten,to behave,viselkedni,verb,2014-10-01,,
h verhindern,to prevent,megelőzni; megakadályozni,verb,2014-05-10,,
h verknüpfen,to associate,összekapcsolni,verb,2014-05-11,,
h verlassen + sich (A) + auf (A),"to trust, to rely on",elhagyni,verb,2014-05-05,,
"h verlassen, verließ, verlassen, verlässt, verlässt",to leave,elhagyni,verb,2014-05-05,,
h verletzen,"to injure, to hurt",megsérülni,verb,2014-05-01,,
s verliebt sein + in (A),to be in love with sb,szerelmesnek lenni vkibe,verb,2014-10-11,,
"h verlieren, verloren, verloren",to lose; to be lost,elveszíteni; elveszítve lenni,verb,2014-05-01,,
"h vermeiden, vermieden, vermieden",to avoid,elkerülni,verb,2014-07-06,,
"h vernehmen, vernahmen, vernommen, vernimmst, vernimmt","to question, to examine",kihallgatni (rendőrségi),verb,2014-05-07,,
h veröffentlichen,to publish,"publikálni, közzétenni",verb,2014-05-10,,
h verpassen,to miss,lemaradni,verb,2014-05-01,,
"h verraten, verrätst, verrieten, verraten, verrät","to betray, to rat out; to reveal",elárulni,verb,2014-08-11,,
h verrechnen + sich (A),to miscalculate,elszámolni magát,verb,2014-05-07,,
h verreisen,to make a journey,elutazni,verb,2014-06-06,,
h versäumen,to miss,lemaradni,verb,2014-05-01,,
h verschenken,to give away,odaajándékozni; elajándékozni,verb,2014-05-01,,
"h verschieben, verschoben, verschoben","to move, to shift; to postpone",eltolni; elhalasztani,verb,2014-05-01,,
h verschlafen,"to oversleep, to sleep in",elaludni (túlaludni),verb,2014-05-07,,
h verschwenden,to waste,"pazarolni, tékozolni, elpazarolni, eltékozolni",verb,2014-10-14,,
"s verschwinden, verschwanden, verschwunden","to vanish, to disappear",eltűnni,verb,2014-05-01,,
"h versehen, versahen, versehen",to provide (sthg with sthg),ellátni (vmit vmivel),verb,2014-06-04,,
h versorgen,"to supply, to provide;  to treat (med.)",ellátni,verb,2014-05-01,,
"h versprechen, versprachen, versprochen, versprichst, verspricht",to promise,megígérni,verb,2014-09-10,,
h versterken,to strenghten,erősíteni,verb,2014-10-09,,
s verstummen,"to go mute, to fall silent","elnémulni, csöndben maradni",verb,2014-10-14,,
h verursachen,to cause,okozni,verb,2014-06-04,,
h verwechseln + mit (D),"to confuse with, to mistake with",összetéveszteni vmivel v. vkivel,verb,2014-05-01,,
h verwenden,to use,"alkalmazni, használni",verb,2014-05-29,,
"h verwenden, verwendeten/verwandten, verwendet/verwandt",to use,használni,verb,2014-05-01,,
h verwöhnen,to spoil,elkényeztetni,verb,2014-05-01,,
h verwöhnen,"to indulge, to spoil",elkényeztetni,verb,2014-08-31,,
h verzehren,to consume,elfogyasztani,verb,2014-05-01,,
"h verzeihen, verziehen, verziehen",to forgive; to pardon; to excuse,megbocsájtani,verb,2014-08-20,,
h vögeln,to fuck (vulg),dugni (vulg),verb,2014-05-01,,
h vor|machen + (D),"to fool, to deceive (colloquial)",megtéveszteni vkit,verb,2014-08-31,,
h vor|machen + sich (D),to lie to oneself,"beképzelni magának vmit, hazudni magának",verb,2014-08-31,,
h vorarbeiten,to do preliminary work,előredolgozni,verb,2014-05-07,,
"s vorausgehen, vorausgingen, vorausgegangen","to lead, to go ahead",előre menni (hely vagy idő),verb,2014-05-24,,
"s vorbei bin, vorbei bist, ist, vorbei sein, vorbei seid, vorbei sein, vorbei waren, vorbei gewesen",to end,véget érni,verb,2014-10-11,,
"s vorbeifahren, vorbeifuhren, vorbeigefahren, vorbeifährst, vorbeifährt",to drive by,beugrani vkihez,verb,2014-05-09,,
"s vorbeikommen, vorbeikamen, vorbeigekommen",to come over,beugrani (beszélőhöz),verb,2014-05-09,,
h vorbereiten,to prepare,felkészülni,verb,2014-05-11,,
"h vorbringen, vorbrachten, vorgebracht",to bring forward (object); to put forward (topic),előrehozni (fizikai); felhozni (témát),verb,2014-05-07,,
"h vorhaben, vorhatten, vorgehabt",to intend,"tervezni, szándékozni",verb,2014-08-20,,
h vorhersagen,"to forecast, to predict",megjósolni vmit,verb,2014-05-07,,
"s vorkommen, vorkamen, vorgekommen","to occur, to happen; to seem, to appear",előfordulni,verb,2014-08-20,,
h vorlaufen,to run in front; to run ahead,előreszaladni,verb,2014-05-07,,
"h vorlesen, vorlasen, vorgelesen, vorliest, vorliest",to read aloud,felolvasni,verb,2014-05-01,,
"h vornehmen, vornahmen, vorgenommen, vornimmst, vornimmt",to undertake,előrevenni (sorban); elővenni (vkit vmiért); eltervezni (vmit); elhatározni (vmit),verb,2014-05-07,,
"h vorschlagen, vorschlugen, vorgeschlagen, vorschlägst, vorschlägt",to propose,javasolni,verb,2014-05-18,,
"h vorschreiben, vorschrieben, vorgeschrieben","to dictate, to command",előírni,verb,2014-05-29,,
"h vorsingen, vorsangen, vorgesungen",to sing,elénekelni,verb,2014-05-01,,
h vorstellen,to introduce sb,bemutatni,verb,2014-05-09,,
h vorstellen + sich (A),to introduce oneself,bemutatkozni,verb,2014-05-09,,
h vorstellen + sich (D),to imagine,elképzelni,verb,2014-05-18,,
h vorverlegen,to bring forward (in time); to accelarate,előrehozni (időt),verb,2014-05-07,,
"h voten, voteten, gevotet",to vote,voksol,verb,2014-05-01,,
"s wachsen, wuchsen/wachsten, gewachsen/gewachst, wächst/wachst, wächst/wachst"," to grow, to increase","nőni, növekedni",verb,2014-10-12,,
h wagen,to risk,merészkedni,verb,2014-10-14,,
s wandern,"to hike, to wander",kirándulni,verb,2014-05-10,,
h warnen,to warn,figyelmeztetni,verb,2014-05-01,,
"h waschen, wuschen, gewaschen, wäschst, wäscht",to wash,mosni,verb,2014-10-12,,
"h weben, woben/webten, gewoben/gewebt",to intertwine,szőni,verb,2014-10-12,,
h wecken,to arouse,fölébreszteni,verb,2014-05-01,,
"h wegbringen, wegbrachten, weggebracht",to take,elvinni,verb,2014-05-01,,
"h wegessen, wegaßen, weggegessen",to eat sth. up (leaving nothing),elenni (vmit vki elől),verb,2014-05-07,,
"h weggeben, weggaben, weggegeben, weggibst, weggibt",to give away,odaadni,verb,2014-05-09,,
"s weggehen, weggingen, weggegangen",to go away,elmenni vhova; elmenni vhonnan,verb,2014-05-18,,
h weglegen,to put away,elrakni,verb,2014-05-07,,
"h wegnehmen, wegnahmen, weggenommen, wegnimmst, wegnimmt","to remove, to take away",elvenni (vmit vhonnan),verb,2014-05-07,,
"h wegtrinken, wegtranken, weggetrunken",to drink sth up (leaving nothing),elinni (vmit vki elől),verb,2014-05-07,,
"h wegwerfen, wegwarfen, weggeworfen, wegwirfst, wegwirft","to litter, to dump; to discard",eldobni; kidobni,verb,2014-08-06,,
"h weisen, wiesen, gewiesen, weist, weist",to indicate; to show,mutatni,verb,2014-10-12,,
"h weiß, weißt, weiß, wissen, wisst/wißt, wissen, wussten/wußten, gewusst/gewußt",to know,tudni,verb,2014-10-12,,
"h wenden, wandten/wendeten, gewandt/gewendet + sich (A)", to turn; to turn around,"fordulni, megfordulni",verb,2014-10-12,,
"h werben, warben, geworben, wirbst, wirbt",to recruit; to enlist,"szerezni; besorozni, toborozni",verb,2014-10-12,,
"s werden, wurden, geworden, wirst, wird","to going to (future tense); to be done (passive), to become, to get, to turn",fogni (jövő idő); (passzív segédige); vmivé válni,verb,2014-10-12,,
"h werfen, warfen, geworfen, wirfst, wirft",to throw,dobni,verb,2014-10-12,,
h wetten,to bet,fogadás (sport),verb,2014-05-01,,
s wichtig sein + für (A),to be important,vki/vmi fontos,verb,2014-10-11,,
h widersetzen + sich (A),to defy,ellenállást tanúsítani,verb,2014-05-07,,
"h widersprechen, widersprachen, widersprochen",to contradict; to object,visszabeszélni; ellentmondani,verb,2014-05-07,,
h wiederholen,to repeat,ismételni,verb,2014-05-07,,
"h will, willst, will, wollen, wollt, wollen, wollten, gewollt",to want,akarni,verb,2014-10-12,,
"h winden, wanden/windeten, gewunden/gewindet",to wind; to twist; to squirm,teker; csűr-csavar,verb,2014-10-12,,
h wohlfühlen,to feel comfortable,jól érezni magát,verb,2014-06-06,,
"h wringen, wrangen, gewrungen",to wring,szorítani,verb,2014-10-12,,
s wütend sein + auf (A),to be angry at sb,haragudni vkire,verb,2014-10-18,,
h zaubern,"to conjure, to perform magic",varázsolni,verb,2014-09-10,,
h zeigen,to show,mutatni,verb,2014-10-10,,
"h zeihen, ziehen, geziehen",to accuse,hibáztatni,verb,2014-10-12,,
"h zerbrechen, zerbrachen, zerbrochen, zerbrichst, zerbricht","to break; to break down, to destroy",széttörni,verb,2014-05-07,,
h zerdrücken,to crush; to mash; to squash,szétnyomni,verb,2014-05-07,,
"s zerfallen, zerfielen, zerfallen, zerfällst, zerfällt",to disintegrate; to decay,szétesni (átv is),verb,2014-05-07,,
h zerkochen,to cook sth. to a pulp; to cook to rags,szétfőzni,verb,2014-05-07,,
h zerlegen,"to dismantle, to disassemble; to decompose; to dismember, to dissect",szétszedni,verb,2014-05-15,,
h zerstören,"to destroy, to demolish","elpusztít, tönkretesz",verb,2014-05-01,,
h zerteilen,"to dissipate, to dissect",feldarabolni,verb,2014-05-07,,
"h ziehen, zogen, gezogen",to pull; to drag,húzni,verb,2014-10-12,,
h zielen,to aim,célozni,verb,2014-09-29,,
h zubereiten,to prepare (food),előkészíteni; elkészíteni (ételt),verb,2014-05-11,,
h zudecken,"to cover, to cover up",betakarni,verb,2014-05-07,,
"s zugehen, zugingen, zugegangen",to approach; to shut,odamenni (vkihez); becsukódni,verb,2014-05-07,,
h zuhören,to listen,odafigyelni (vkire),verb,2014-05-07,,
"h zunehmen, zunahmen, zugenommen, zunimmst, zunimmt",to gain weight,"hízni, felszedni",verb,2014-05-07,,
h zuordnen,to assign,hozzárendelni,verb,2014-05-07,,
"h zurückbringen, zurückbrachten, zurückgebracht",to bring back,visszavinni,verb,2014-05-07,,
h zurückholen,to retrieve; to reclaim; to fetch back,visszahozni,verb,2014-05-07,,
"h zurücknehmen, zurücknahmen, zurückgenommen, zurücknimmst, zurücknimmt",to withdraw; to retract,visszavenni,verb,2014-05-07,,
"h zurückschlagen, zurückschlugen, zurückgeschlagen, zurückschlägst, zurückschlägt",to strike back,visszaütni,verb,2014-05-07,,
h zusagen,to accept; to promise to come,elfogadni; megígérni,verb,2014-05-18,,
"s zusammenbrechen, zusammenbrachen, zusammengebrochen, zusammenbrichst, zusammenbricht",to collapse (person),összeomlani (ember),verb,2014-05-07,,
"h zusammenbringen, zusammenbrachten, zusammengebracht",to bring together; to scrape together,összehozni (egy helyre),verb,2014-05-07,,
"h zusammenfassen, zusammenfassten, zusammengefasst","to outline, to summarize","összefoglalni, összegezni",verb,2014-07-06,,
s zusammenstürzen,"to collapse (building, etc.)",összeomlani,verb,2014-05-07,,
h zusehen + (D) + bei (D),to watch (sthg happening),nézni (vmi cselekményt),verb,2014-05-09,,
h zutrauen + sich (D) + etwas,to believe in sb,hinni valakiben vmi megoldására,verb,2014-08-24,,
"h zwingen, zwangen, gezwungen",to force,"kényszeríteni, eröltetni",verb,2014-10-12,,
"s zwischengehen, zwischengingen, zwischengegangen",to intervene,közéállni (átv is.),verb,2014-05-07,,
lässig,"casual, nonchalant, cool",laza,adj,2014-10-14,,
s unkippen,"to upset sth, to overturn; to faint",eldőlni; elájulni,verb,2014-10-20,,
umgekippt,overturned; upset,eldőlt (fizikailag),adj,2014-10-15,,
ein Kind kriegen,to have a baby,babát akarni,exp,2014-10-14,,
langweilig sein,to be bored,unatkozni,verb,2014-10-18,,
es schwer haben,to have a hard time,nehezére esik; nehéz dolga van,exp,2014-10-14,,
Meine Deutsch-Sprachverwendung ist elementar.,,,exp,2014-09-23,,
Meiner deutsche Kenntnissstand ist grundliegend.,,,exp,2014-09-23,,
h anmachen + (A),"to chat up, come on to sb",kikezdeni vkivel; kötekedni vkivel; bekapcsolni vmit,verb,2014-10-14,,
s hingehen + zu (D),to go forth; to go there,"odamenni vkihez, odamenni vhova",verb,2014-08-06,,
"h/s hochfahren, hochfuhren, hochgefahren, hochfährst, hochfährt",to boot,betölteni,verb,2014-10-06,,
h leicht fallen + (D),to come naturally to sb,könnyűnek találni vkit,verb,2014-10-09,verb?,
"h leihen, liehen, geliehen","to lend, to loan (US); to borrow",kölcsönözni; kölcsön adni; kölcsön kérni,verb,2014-10-12,használat?,
"h raten, rieten, geraten, rätst, rät",to guess sth,kitalálni vmit,verb,2014-10-12,fontos?,
"h reiben, rieben, rieben",to rub,"dörzsölni, horzsolni",verb,2014-10-12,horzsolni?,
"h riechen, rochen, gerochen + nach (D)",to have a scent; to smell,"vmilyen szagúnak lenni, vmilyen szagot/illatot árasztani",verb,2014-10-12,A? D?,
"h saugen, sogen/saugten, gesogen/gesaugt",to suck,"szívni, szopni (nem vulgáris)",verb,2014-10-12,nem vulgáris?,
"h schließen, schlossen, geschlossen","to shut, to close, to shut down; to conclude, to end, to close;  to come to (an agreement), to enter into (a relationship), to reach (a settlement)",,verb,2014-10-12,mi fontos?,
"h schmeißen, schmissen, geschmissen","to throw, to fling, to hurl, to chuck; to slam, to bang;  to manage sth, to handle sth, to deal with sth, to run sth",,verb,2014-10-12,mi fontos?,
"s schreiten, schritten, geschritten","to stride, to step, to walk deliberately",kilépni; átlépni,verb,2014-10-12,jó? fontos?,
"s schwinden, schwanden, geschwunden","to dwindle (to decrease, shrink, vanish)","fogyni, elfogyni; elmúlni; eltűnni",verb,2014-10-12,jó? fontos?,
"h spinnen, spannen, gesponnen",to spin,"fonni, sodorni, szőni; forogni, pörögni",verb,2014-10-12,ez mind?,
s stammen,to descend; to originate,való,verb,2014-09-10,származni?,
"h treten, traten, getreten, trittst, tritt","to step, to tread, to trample; to kick sth.",taposni vmit; rúgni vmit,verb,2014-10-12,,
"s treten, traten, getreten, trittst, tritt","to step, to tread; to pedal; to walk",taposni; sétálni,verb,2014-10-12,,
h umwandeln,"to convert, to cast",megváltoztat; transzformál,verb,2014-10-10,to commute?,
"s weichen, wichen, gewichen",to yield,kitermelés,verb,2014-10-12,jó?,
h jucken,to itch; to bother (slang),viszketni; zavarni (slang),verb,2014-10-20,zavarni?,
ätzend,,szar,adj,2015-02-15,,
bequem,,kényelmes,adj,2015-04-18,,
erstaunlich,,meglepő,adj,2015-03-09,,
gemein,mean; nasty,gonosz,adj,2015-02-07,,
gesamt,"entire, whole",egész,adj,2015-02-05,,
gleichzeitig,,egyszerre,adj,2015-03-13,,
gründlich,,alapos,adj,2015-03-29,,
kurzfristig,,rövid távon,adj,2015-03-30,,
kuschelweich,"fluffy, soft, cuddly","bolyhos, puha",adj,2014-11-02,,
leise,,halk,adj,2015-03-04,,
locker,,"laza, lazán",adj,2015-03-13,,
machbar,"feasible, viable","megvalósítható, kivitelezhető",adj,2014-10-26,,
sparsam,,takarékos,adj,2015-03-13,,
umfangreich,,"hatalmas, nehéz (tantárgy, feladat, egyéb átv.)",adj,2015-03-04,,
unterschiedlich,different,"változó, változóan",adj,2014-10-20,,
veraltet,,elavult,adj,2015-03-09,,
wach,,ébren,adj,2015-03-13,,
wählerisch,,válogatós,adj,2015-03-15,,
wahr,"true, genuine, real","igaz, valódi",adj,2014-10-20,,
einigermaßen,somewhat,nagyjából,adv,2015-02-01,,
nämlich,,mivel,adv,2015-03-09,,
somit,,ezáltal,adv,2015-03-04,,
sondern,,hanem,adv,2015-02-28,,
vermutlich,,feltételezhetően,adv,2015-02-15,,
vor allem,above all; first and foremost,elsősorban; leginkább; mindenekelőtt,adv,2015-02-07,,
zumal,,"annál is inkább, hogy",adv,2015-03-04,,
"... um so (comperative), als ...",,"annál inkább, hogy",exp,2015-03-09,,
(Na ja) egal,anyway,na mindegy,exp,2015-02-07,,
auf diesem Gebiet forschen,,ezen a területen kutatni,exp,2015-03-22,,
"s ausgehen, ausgingen, ausgegangen","to go out, to party",elmenni bulizni,verb,2015-02-06,,
Biegt nach rechts ab.,Turn right.,Fordulj jobbra.,exp,2015-02-12,,
Bin noch am Leben,,Élek; életben vagyok,exp,2015-02-09,,
bist du hierzu bereit?,are you ready for this?,készen állsz?,exp,2015-02-06,,
danke trotzdem,Thanks anyway.,azért köszi,exp,2015-02-06,,
das kann man wohl sagen.,I guess you can say that,szerintem lehet mondani,exp,2015-02-06,,
die Unterhaltung ist vorbei.,the conversation is over.,a beszélgetésnek vége,exp,2015-02-07,,
einerseits ... andererseits,on one side ... on the other side,egyfelől ... másfelől,exp,2014-10-20,,
endlich ist es so weit.,finally it is ready,végre kész!,exp,2015-02-06,,
erstens ... zweitens,firstly ... secondly,először is ... másodszor is,exp,2014-10-20,,
es geht auch hiermit.,it also goes with this.,ezzel megy,exp,2015-02-06,,
es ist geschafft,it's done,"elkészült, megvan",exp,2015-02-07,,
es ist Pflicht,,ez kötelező,exp,2015-03-04,,
es juckt mich nicht,I don't give a damn,nem érdekel,exp,2014-10-20,,
es reicht,,elég volt,exp,2015-03-13,,
es sei denn,,kivéve,exp,2015-03-15,,
helfen Sie mir hiermit,will you help me with this?,segítenél ezzel/ebben?,exp,2015-02-06,,
"s herausgehen, herausgingen, herausgegangen",to come outside,kijönni (levegőre),verb,2015-02-06,,
heute ist der Tourismus von Bedeutung.,tourism is of importance today.,a tourismus fontos manapság,exp,2015-02-07,,
"s hinausgehen, hinausgingen, hinausgegangen",to go outside,kimenni (levegőre),verb,2015-02-06,,
ich bin dafür bereit.,I am ready for that.,készen állok (rá),exp,2015-02-06,,
Ich freu mich 'drauf,,várom már,exp,2015-03-09,,
Ich habe dich lieb,I love you (for family),szeretlek (nem szerelemmel),exp,2014-10-20,,
Ich kriege es hin,,meg tudom csinálni,exp,2015-04-18,,
Ich lebe noch,,Élek; életben vagyok,exp,2015-02-09,,
ich sehe auch so,,én is így látom; egyetértek,exp,2015-03-13,,
im Begriff zu gehen sein,to be about to go,épp indulni,exp,2015-02-07,,
in Ruhe lassen,to leave alone,békén hagyni,exp,2015-02-05,,
ist sie in Ordnung?,is she OK?,rendben van?,exp,2015-02-07,,
kein Zeichen davon?,no sign of it?,nyoma sincs?,exp,2015-02-07,,
kommt sie klar?,is she OK? (slang),rendben van? (slang),exp,2015-02-07,,
mir geht's genauso,,"nekem is, én is; egyetértek",exp,2015-03-13,,
mit Nachdruck,,"nyomékosan, nyomatékkal",exp,2015-02-09,,
rufen nach der Polizei,,rendőrért kiálltani,exp,2015-03-30,,
Sag das nochmal!,Say that again!,Mondd mégegyszer (ha mered)!,exp,2015-02-09,,
sehr betroffen sein,,lesúlytva lenni,exp,2015-03-09,,
Sei's drum,anyway (rarely used),na mindegy (ritkán használt),exp,2015-02-07,,
so weit sein,to be ready,késznek lenni,exp,2015-02-07,,
sooft es geht,as often as possible,amilyen gyakran csak lehet,exp,2015-03-04,,
soweit ich weiß,as far as I know,tudtommal,exp,2015-02-07,,
unter die Woche,during the week (working days),a héten (hétvége nélkül),exp,2015-02-07,,
wer anderer kommt mit?,who else is coming?,ki jön még?,exp,2015-02-06,,
wer kommt noch hinzu?,who else is coming?,ki jön még?,exp,2015-02-06,,
wie auch immer,anyway,na mindegy,exp,2015-02-07,,
wo ... doch,,"annak ellenére, hogy; holott; habár; merthogy ugyebár",exp,2015-03-04,,
wunschlos glücklich,perfectly happy,maradéktalanul boldog (ált. irónikus),exp,2014-10-20,,
jetzt kracht es,,el fog durranni az agya??,expression,2015-02-28,,
Eine Hand wäscht die andere,You scratch my back and I'll scratch yours.,Kéz kezet mos.,idiom,2015-02-07,,
Es regnet wie shit,It's raining like shit,Szakad az eső,idiom,2015-02-07,,
Halt die Ohren steif!,Chin up!,Fel a fejjel!,idiom,2015-02-07,,
Ich drücke dir die Daumen!,I’ll keep my fingers crossed for you!,Drukkolok!,idiom,2015-02-07,,
Lachen ist die beste Medizin.,Laughter is the best medicine.,A nevetés a legjobb orvosság.,idiom,2015-02-07,,
Schnee von gestern.,No worries!,Spongyát rá!,idiom,2015-02-07,,
"e Abfahrt,~en",departure,indulás,noun,2015-02-07,,
"r Abflug,⍨e",departure,indulás,noun,2015-02-07,,
"e Abkürzung,~en",abbreviation; shortcut,rövidítés,noun,2015-03-15,,
"e Absicht,~en","intention, intent",szándék,noun,2015-03-13,,
"r/e Angestellte,~n","employee, staff",alkalmazott,noun,2015-02-05,,
"e Ankunft,⍨e",arrival,érkezés,noun,2015-02-07,,
"r Antrag,⍨e","application, request",kérelem,noun,2015-02-05,,
"r Artikel,~","article, entry; item; clause","cikk; cikkely (törvény), bekezdés",noun,2015-02-12,,
"r Aufbau,~ten",construction,felépíteni,noun,2015-02-09,,
"r Ausflug,⍨e",excursion,kirándulás,noun,2015-02-28,,
"e/r Beamte,Beamten","official, clerk",hivatalnok,noun,2015-02-01,,
"e Bearbeitung,~en",process,feldolgozás,noun,2015-02-05,,
"e Bedingung,~en",condition; requirement; term,körülmény,noun,2015-03-15,,
"e Behauptung,~en",assertion,állítás,noun,2015-03-29,,
"e/r Bekannte,~n",acquaintance,ismerős,noun,2015-03-04,,
"e Beschimpfung,~en",insult,beszólás,noun,2015-02-09,,
"e Besessenheit,-",obsession,megszállottság,noun,2015-03-03,,
"r Beweis,~e","proof, evidence",bizonyíték,noun,2015-02-05,,
"e Bewerbung,~en","application, candidacy",jelentkezés; pályázat,noun,2014-10-20,,
"r Briefumschlag,⍨e",envelope,boríték,noun,2015-02-01,,
"s Bruchstück,~e","shard, fragment",töredék,noun,2015-02-07,,
"r Datei-Manager,~",file manager,fájlkezelő,noun,2015-02-07,,
"r Dieb,~e",thief,tolvaj,noun,2015-03-29,,
"e Diebin,~nen",female thief,tolvajnő,noun,2015-03-29,,
"e Diele,~n","hall, hallway, foyer",előszoba,noun,2015-04-18,,
"r Dirigent,~en","conductor, maestro, choirmaster",karmester,noun,2015-02-15,,
"e Dose,~n",can,"doboz, konzervdoboz",noun,2015-02-10,,
"e Eifersucht,-",jealousy,féltékenység,noun,2014-10-20,,
"e Wahrheit,~en",truth,igazság,noun,2014-10-20,,
"r Eigenname,~n",proper name,tulajdonnév,noun,2015-02-07,,
"e Einzelheit,~en",detail,részlet,noun,2014-10-20,,
e Entzündung,inflammation,gyulladás,noun,2015-03-04,,
"e Erde,~n",Earth; ground; soil,"Föld, föld",noun,2015-03-29,,
"r Flur,~e","hall, hallway, corridor, stairwell","előszoba, folyosó",noun,2015-04-18,,
"r Fluss,⍨",river; flow,folyó,noun,2015-03-29,,
"e Fortsetzung,~en","continuation, resumption",folytatás,noun,2015-04-18,,
"e Frist,~en","deadline; term, period (time limit)",határidő,noun,2015-03-30,,
"r Füller,~",fountain pen,töltőtoll,noun,2015-04-18,,
"e Gelegenheit,~en",opportunity; facility,"lehetőség, alkalom",noun,2015-03-04,,
"s Gemisch,~e",mixture; composite,keverék,noun,2015-02-09,,
"s Gut,⍨er",goods,áru,noun,2015-02-01,,
"s Hilfsgut,⍨er",helping goods,"segítség (áru, termék)",noun,2015-02-01,,
"e Impfung,~en","injection, vaccination",oltás,noun,2015-02-01,,
"r Inhalt,~e",content,tartalom,noun,2015-02-01,,
"e Katastrophe,~n","disaster, catastrophe",katasztrófa,noun,2015-02-01,,
"e Klammer,~n",bracket; parenthesis; clamp,zárójel; fogó,noun,2015-02-28,,
"s Kuvert,~e/~s",envelope (outdated),boríték (régies),noun,2015-02-01,,
"r Landstrich,~e",area,terület,noun,2015-02-05,,
"r Magen,⍨",stomach,gyomor,noun,2015-04-18,,
"r Mangel,⍨","flaw; lack, shortage",hiba; hiányosság,noun,2015-03-30,,
"e Mischung,~en",blend,keverék,noun,2015-02-09,,
"e Mussjacke,~n",straitjacket (slang),kényszerkabát (slang),noun,2015-02-01,,
r Nachdruck,"emphasis, stress",nyomaték,noun,2015-02-09,,
